"productId","productName","strategy","uiAction","initialUrl","finalUrlOrHost","networkOrFirstData","cancelOrRecovery","status","reason"
"kimi-work-desktop","Kimi Work（Windows）","direct-artifact","install-product","https://kimi-img.moonshot.cn/app/download/windows/kimi_3.1.6.exe","kimi-img.moonshot.cn","Electron authorized first data 228485 bytes; total=445358224","paused then refresh/retry data 490629 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"alibaba-qwen-studio","千问桌面版","direct-artifact","install-product","https://umcdn.qianwen.com/download/37270/qianwenpc/pcqwen@default/QianwenPC_V3.7.5.145_pc_pf3000_(zh-cn)_releasemini_(Build2901209-1001-x64).exe","umcdn.qianwen.com","Electron authorized first data 2097152 bytes; total=3499352","paused then refresh/retry data 1299376 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"alibaba-qoder-cn-ide","Qoder CN IDE","direct-artifact","install-product","https://qoder-ide.oss-accelerate.aliyuncs.com/release/1.20.1/QoderUserSetup-x64.exe","qoder-ide.oss-accelerate.aliyuncs.com","Electron authorized first data 785774 bytes; total=191062352","paused then refresh/retry data 146798 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"alibaba-qoderwork-cn","QoderWork CN","direct-artifact","install-product","https://download.qoder.com.cn/qoder-work/releases/latest/QoderWork-Setup-User-x64.exe","download.qoder.com.cn","Electron authorized first data 2179054 bytes; total=252233192","paused then refresh/retry data 769240 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"alibaba-quark-ai-browser","夸克 AI 浏览器","direct-artifact","","","","","","FAIL","catalog/artifact FAIL: download failed before first data: DOWNLOAD_FAILED 下载服务器返回 404"
"alibaba-dingtalk-ai","钉钉","direct-artifact","install-product","https://dtapp-cast.dingtalk.com/202608071708/25f6017538eab353e4bb924da6723b27/dingtalk-desktop/win_installer/Release/DingTalk_v8.2.0.260119001.exe","dtapp-cast.dingtalk.com","Electron authorized first data 127522 bytes; total=460186048","paused then refresh/retry data 1248587 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"tencent-yuanbao-desktop","腾讯元宝电脑版","direct-artifact","install-product","https://cdn-hybrid-prod.hunyuan.tencent.com/Desktop/official/dc75c2246b0b13c1ef8a120d56b297cf/yuanbao_2.77.1.612_x64.exe","cdn-hybrid-prod.hunyuan.tencent.com","Electron authorized first data 245760 bytes; total=53486128","paused then refresh/retry data 786432 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"tencent-codebuddy","CodeBuddy","direct-artifact","install-product","https://codebuddy-1328495429.cos.accelerate.myqcloud.com/aiide/win32-x64-user/CodeBuddy-win32-x64-user-4.10.4.33993995-1ba59196.exe","codebuddy-1328495429.cos.accelerate.myqcloud.com","Electron authorized first data 23877 bytes; total=161855264","paused then refresh/retry data 23877 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"tencent-workbuddy","WorkBuddy","direct-artifact","install-product","https://download.codebuddy.cn/workbuddy/saas/win32-x64-user/WorkBuddy-win32-x64-user-5.3.8.34705286-e9991e2b.exe","download.codebuddy.cn","Electron authorized first data 40915 bytes; total=407285928","paused then refresh/retry data 49098 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"tencent-qclaw","QClaw","direct-artifact","install-product","https://package-cdn.qclaw.qq.com/qclaw/win/0.2.35-5001-624/QClaw-Setup-0.2.35-5001-624.exe","package-cdn.qclaw.qq.com","Electron authorized first data 57281 bytes; total=568771520","paused then refresh/retry data 114562 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"tencent-ima","ima","direct-artifact","install-product","https://app-dl.ima.qq.com/win_channel/ima.copilot_win_x64_1018_2.6.3_4813.exe","app-dl.ima.qq.com","Electron authorized first data 57281 bytes; total=224073264","paused then refresh/retry data 65464 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"tencent-qq-ai-browser","QQ 浏览器","download-page","前往官网下载 ↗","https://browser.qq.com/","https://browser.qq.com/","HTTP 200; first=3745 bytes","external entry only; no login/install","PASS",""
"lm-studio-desktop","LM Studio","direct-artifact","install-product","https://installers.lmstudio.ai/win32/x64/0.4.20-1/LM-Studio-0.4.20-1-x64.exe","installers.lmstudio.ai","Electron authorized first data 31578 bytes; total=617153352","paused then refresh/retry data 40964 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"gpt4all-desktop","GPT4All Desktop","direct-artifact","install-product","https://github.com/nomic-ai/gpt4all/releases/download/v3.10.0/gpt4all-installer-win64-v3.10.0.exe","github.com","Electron authorized first data 15149 bytes; total=744456856","paused then refresh/retry data 180197 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"anythingllm-desktop","AnythingLLM Desktop","direct-artifact","install-product","https://cdn.anythingllm.com/latest/AnythingLLMDesktop.exe","cdn.anythingllm.com","Electron authorized first data 4098 bytes; total=394525080","paused then refresh/retry data 57535 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"amazon-kiro-ide","Kiro IDE","direct-artifact","install-product","https://prod.download.desktop.kiro.dev/releases/stable/win32-x64/signed/1.0.242/kiro-ide-1.0.242-stable-win32-x64.exe","prod.download.desktop.kiro.dev","Electron authorized first data 107758 bytes; total=171322272","paused then refresh/retry data 64954 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"perplexity-web","Perplexity","download-page","前往官网下载 ↗","https://www.perplexity.ai/platforms","","BLOCKED: fetch failed","external entry only; no login/install","BLOCKED","external site/network probe unavailable"
"perplexity-comet","Comet","download-page","前往官网下载 ↗","https://www.perplexity.ai/comet","","BLOCKED: fetch failed","external entry only; no login/install","BLOCKED","external site/network probe unavailable"
"baidu-ruliu","如流","download-page","前往官网下载 ↗","https://infoflow.baidu.com/newweb/","https://infoflow.baidu.com/newweb/","HTTP 206; first=1 bytes","external entry only; no login/install","PASS",""
"nvidia-ai-workbench","NVIDIA AI Workbench","direct-artifact","install-product","https://workbench.download.nvidia.com/stable/workbench-desktop/latest/NVIDIA-AI-Workbench-Setup.exe","workbench.download.nvidia.com","Electron authorized first data 16384 bytes; total=169269104","paused then refresh/retry data 32768 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"nvidia-broadcast","NVIDIA Broadcast","direct-artifact","install-product","https://international.download.nvidia.com/Windows/broadcast/2.2.1/NVIDIA_Broadcast_v2.2.1.58338310.exe","international.download.nvidia.com","Electron authorized first data 32768 bytes; total=188385568","paused then refresh/retry data 81920 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"nvidia-canvas","NVIDIA Canvas","direct-artifact","install-product","https://images.nvidia.cn/canvas/Canvas1.4.311.exe","images.nvidia.cn","Electron authorized first data 15981 bytes; total=1042927416","paused then refresh/retry data 31971 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"openclaw-windows-hub","OpenClaw Windows Hub","direct-artifact","install-product","https://github.com/openclaw/openclaw/releases/download/v2026.7.1/OpenClawCompanion-Setup-x64.exe","github.com","Electron authorized first data 161875 bytes; total=119668336","paused then refresh/retry data 1885184 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"nous-hermes-desktop","Hermes Desktop","direct-artifact","install-product","https://hermes-assets.nousresearch.com/Hermes-Setup.exe?build=3c27eb6234bf","hermes-assets.nousresearch.com","Electron authorized first data 1360 bytes; total=7597376","paused then refresh/retry data 15019 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"opencode","OpenCode Desktop","direct-artifact","install-product","https://github.com/anomalyco/opencode/releases/download/v1.18.10/opencode-desktop-win-x64.exe","github.com","Electron authorized first data 1472560 bytes; total=124337464","paused then refresh/retry data 114661 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
